AAPL
CTXS
L
TDG
ADS
VRSK
BBY
KLAC
MHK
DISH
SBAC
ETR
WHR
FRC
HSIC
DGX
EQT
COL
STX
CINF
DVMT
MKL
AEE
AAP
GWW
PRGO
OKE
CMG
CE
PANW
CPB
CHD
DOV
CMS
FOX
TXT
MXIM
CMA
UHS
AKAM
KMX
AYI
AME
LLL
MTD
HOG
MAT
CHRW
HOLX
SLG
GPN
IDXX
MKC
DVA
TWTR
MAS
Q
LBRDK
WAT
COG
WU
KIM
NLY
NTAP
COH
ALK
CA
TSCO
FRT
JNPR
EMN
MOS
XL
UNM
KSS
ALB
DHI
CNP
WWAV
AMTD
SNA
FL
WFM
TSO
IPG
HAS
IFF
ACGL
KSU
LKQ
CTAS
EXPD
WDAY
BG
ETFC
PNR
CNC
FFIV
LEA
MAC
XYL
RJF
SNPS
UDR
SCG
HRL
NFX
SEE
ALLY
DRE
AJG
VNTV
RE
DRI
QVCA
HBI
CBG
TIF
URI
CDK
RMD
ALKS
JBHT
PVH
ARE
CSC
FBHS
INGR
ARNC
TRGP
FANG
ARMK
VAR
EXR
COTY
CDW
HII
RAD
Y
FNF
WYNN
IRM
CIT
SIVB
PNW
STLD
ANSS
LNG
LNT
ZION
BF-B
TSS
DPZ
WR
IT
GT
XRX
VER
PKG
AMG
TMK
COO
WYN
MIDD
HDS
RGA
SIRI
LEN
VOYA
HP
UGI
FTI
CDNS
BR
SPLK
HAR
CCK
SBNY
AES
JEC
SPR
FMC
KORS
FLR
NDAQ
BRX
RRC
NYCB
ATO
VAL
WAB
CSL
BWA
AOS
VRSN
LUK
IEX
SIG
MSCI
NI
RPM
TRMB
ASH
REG
COMM
MAA
EWBC
LDOS
CPT
SEIC
QRVO
JKHY
JWN
AMD
CF
ALGN
KRC
AIV
BBBY
VMW
TFX
FDS
JBLU
LEG
ALLE
AVY
ST
SGEN
LSXMK
NCLH
OGE
SPLS
NNN
BURL
KEYS
ARW
CSGP
HUBB
SRCL
MSCC
FLS
AGNC
ODFL
ACC
WPC
LII
PE
MD
WCG
BERY
EGN
MIC
DISCK
JAZZ
GLPI
WST
MKTX
ENH
NVR
RL
OC
MRVL
PACW
MAN
PF
AVT
PHM
PBCT
KAR
BEAV
LPT
BRCD
MTN
AFG
OHI
WRB
AXTA
MNK
STE
UA
ULTI
SNI
IM
SWN
CBOE
PTC
RS
ACM
OZRK
PKI
RHI
MUR
TTC
AXS
LAMR
NDSN
GXP
ARRS
GPS
NAVI
UTHR
TRIP
LULU
MDU
CLR
SON
GRMN
DCI
CPRT
X
WPX
ELS
GNTX
IONS
PII
WTR
DEI
CSRA
WBC
DXCM
AIZ
SERV
SRC
OSK
SSNC
RNR
STWD
HFC
TSRO
LAZ
SABR
OA
DNKN
FDC
IAC
SCI
DKS
TER
FLIR
CLB
HRB
ON
CHK
AR
LW
TYL
PWR
BRO
CGNX
WOOF
UA-C
TGNA
NCR
HXL
BAH
LECO
THO
BMS
HIW
DDR
AGO
CBSH
ALSN
PNRA
CASY
HPT
QEP
SUI
POST
S
EPC
ATR
CFR
GRA
WFT
JLL
NFG
WBS
RGLD
NUAN
GGG
BC
SNV
AMH
CC
RIG
FCE-A
ORI
EXP
TOL
FHN
EPR
CUBE
DNB
FTNT
WAL
RSPP
XPO
NWSA
WSM
GWR
PB
EV
ABMD
CRI
NBR
MSM
WRI
SLM
HPP
OLN
SNH
SIX
FTR
EVHC
WEX
TRN
TTWO
AA
EME
BPOP
AZPN
ISBC
R
ZAYO
TCO
CNK
SMG
VR
DCT
FAF
PDCE
DISCA
HHC
VVC
HAIN
VEEV
GWRE
SLCA
NBIX
POOL
CW
GPK
CPN
NEU
ZBRA
HUN
ANET
THS
TECH
UMPQ
MENT
HTA
EXEL
CBRL
TDY
SAVE
AWH
NRZ
AGCO
WSO
IDA
SBH
RICE
VSAT
STOR
LSI
MANH
WWD
PTEN
AMSG
ATHN
WGL
THG
POR
BKU
GPT
Z
FNSR
LYV
EQC
CR
CSAL
BWXT
CST
RPAI
ITT
MPW
MMS
BIO
NRG
BOH
TCBI
HLS
RLGY
EEFT
PVTB
FICO
AL
TDC
SXT
SNX
PPS
OUT
OPK
CBI
CHFC
ALR
ASB
CRUS
JBL
CLC
LSTR
OAS
HLF
NATI
HR
WTFC
IBKC
JACK
MSG
CONE
SM
DST
WLL
CRL
JCOM
UBSI
SWX
HE
CY
CLGX
IPGP
SKT
AMCX
CNX
DLX
PRI
LFUS
PDCO
RBC
NUVA
RYN
KEX
CFX
G
HBHC
GPOR
FNB
ENDP
VMI
UMBF
ALNY
AN
EPAM
HZNP
COHR
LHO
TEN
LVNTA
LSXMA
ROL
GRUB
SHO
TEX
CACI
SAIC
TPX
HRC
CAVM
SF
USG
OGS
CNO
INT
CAR
RDN
PRXL
BDC
ENS
WTM
FR
MTG
HOMB
BWLD
MKSI
ESRT
PFPT
BKH
DFT
FULT
AHL
APLE
ALE
BFAM
SKX
MBFI
CIM
MDSO
TWO
ISIL
MPWR
TECD
IDTI
CTLT
BLKB
CAB
PRA
OI
LM
TXRH
NJR
EDR
CIEN
EAT
WAFD
LPLA
WNR
ESV
MFA
FLO
WCC
LNCE
CBT
PDM
SPB
BGS
TMH
PNFP
ACHC
STL
MTX
SFM
STRZA
SR
EQY
RARE
ENR
NUS
BECN
CPE
POL
AKS
JCP
TRCO
TKR
JOY
LPX
KMT
MASI
FCNCA
VLY
NRF
CLH
NTCT
TRU
ERIE
CMN
IDCC
OFC
NWE
AEO
